Code,Name,Geography,Area (sq km),Estimated Population mid-2021,2021 people per sq. km,Estimated Population mid-2011,2011 people per sq. km,Estimated Population mid-2001,2001 people per sq. km
E09000007,Camden,London Borough,22,"210,390","9,660","220,087","10,106","202,567","9,301"
E09000012,Hackney,London Borough,19,"259,956","13,650","247,182","12,980","207,246","10,882"
E09000013,Hammersmith and Fulham,London Borough,16,"183,295","11,174","182,445","11,122","169,374","10,325"
E09000014,Haringey,London Borough,30,"264,130","8,922","255,540","8,631","221,251","7,473"
E09000019,Islington,London Borough,15,"216,767","14,589","206,285","13,884","179,387","12,073"
E09000020,Kensington and Chelsea,London Borough,12,"143,940","11,873","158,251","13,053","162,199","13,379"
E09000022,Lambeth,London Borough,27,"317,498","11,844","304,481","11,358","273,372","10,198"
E09000023,Lewisham,London Borough,35,"299,810","8,530","276,938","7,880","254,336","7,237"
E09000025,Newham,London Borough,36,"350,626","9,687","310,460","8,577","249,411","6,891"
E09000028,Southwark,London Borough,29,"306,374","10,609","288,717","9,998","256,712","8,890"
E09000030,Tower Hamlets,London Borough,20,"312,273","15,794","256,012","12,949","201,090","10,171"
E09000032,Wandsworth,London Borough,34,"328,367","9,584","307,710","8,981","271,742","7,931"
E09000033,Westminster,London Borough,21,"205,087","9,547","219,582","10,221","203,329","9,465"
E09000002,Barking and Dagenham,London Borough,36,"218,534","6,053","187,029","5,181","165,654","4,589"
E09000003,Barnet,London Borough,87,"388,639","4,479","357,538","4,121","319,481","3,682"
E09000004,Bexley,London Borough,61,"246,543","4,070","232,774","3,843","218,757","3,611"
E09000005,Brent,London Borough,43,"338,918","7,839","312,245","7,222","269,620","6,236"
E09000006,Bromley,London Borough,150,"329,830","2,197","310,554","2,069","296,218","1,973"
E09000008,Croydon,London Borough,86,"390,506","4,515","364,815","4,218","335,112","3,875"
E09000009,Ealing,London Borough,56,"366,127","6,592","339,314","6,109","307,276","5,532"
E09000010,Enfield,London Borough,81,"329,601","4,078","313,935","3,884","277,266","3,431"
E09000011,Greenwich,London Borough,47,"289,254","6,114","255,483","5,400","217,460","4,596"
E09000015,Harrow,London Borough,50,"260,987","5,172","240,499","4,766","210,044","4,162"
E09000016,Havering,London Borough,112,"262,022","2,332","237,927","2,118","224,717","2,000"
E09000017,Hillingdon,London Borough,116,"304,792","2,634","275,499","2,381","245,616","2,123"
E09000018,Hounslow,London Borough,56,"287,940","5,145","254,927","4,555","215,976","3,859"
E09000021,Kingston upon Thames,London Borough,37,"167,845","4,505","160,436","4,306","149,045","4,000"
E09000024,Merton,London Borough,38,"215,324","5,723","200,543","5,330","191,106","5,079"
E09000026,Redbridge,London Borough,56,"309,836","5,494","281,395","4,990","241,893","4,289"
E09000027,Richmond upon Thames,London Borough,57,"195,232","3,402","187,527","3,267","174,311","3,037"
E09000029,Sutton,London Borough,44,"209,517","4,778","191,123","4,359","181,461","4,138"
E09000031,Waltham Forest,London Borough,39,"278,050","7,164","259,742","6,693","222,015","5,721"
