Code,Name,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,Census 2021,Births,Deaths,Births minus Deaths,Internal Migration Inflow,Internal Migration Outflow,Internal Migration Net,International migration Net,Other,Estimated Population 2021
E09000007,Camden,"210,390","2,156","2,020","1,979","1,940","1,950","2,016","1,863","1,940","1,942","2,041","2,095","2,118","2,097","2,095","2,011","1,983","2,101","2,120","2,714","4,242","4,212","4,038","3,879","4,145","4,261","4,283","4,500","4,595","4,416","4,324","4,272","4,329","4,317","3,944","3,722","3,480","3,566","3,246","3,172","3,031","3,066","2,981","3,007","2,750","2,716","2,750","2,772","2,667","2,567","2,634","2,712","2,696","2,624","2,600","2,652","2,588","2,418","2,423","2,237","2,132","2,045","2,000","1,788","1,779","1,642","1,569","1,483","1,395","1,418","1,351","1,290","1,309","1,274","1,285","1,315","1,179","1,062","1,029",909,782,694,742,666,643,521,486,432,352,324,280,"1,199","210,125",659,297,362,"6,320","6,412",-92,-5,0,"210,390"
E09000012,Hackney,"259,956","3,554","3,336","3,218","3,058","3,079","3,123","3,081","2,892","3,014","3,021","3,077","3,093","3,096","3,066","3,037","3,007","2,979","2,991","2,830","2,514","2,787","3,040","3,323","4,253","4,969","5,683","6,215","6,558","6,560","6,839","6,898","6,802","6,539","6,082","5,668","5,176","4,903","4,745","4,489","4,314","4,079","3,956","3,657","3,498","3,440","3,330","3,150","3,059","3,024","3,028","2,859","2,995","2,917","2,905","2,813","2,886","2,969","2,673","2,544","2,383","2,279","2,260","2,058","1,816","1,751","1,782","1,524","1,398","1,319","1,150","1,179","1,136","1,088","1,046","1,017",786,731,673,643,631,535,529,482,424,401,391,367,275,246,187,778,"259,155","1,155",279,876,"6,499","6,574",-75,0,0,"259,956"
E09000013,Hammersmith and Fulham,"183,295","1,953","1,786","1,802","1,704","1,777","1,768","1,717","1,701","1,773","1,816","1,776","1,910","1,812","1,759","1,738","1,667","1,652","1,691","1,606","1,599","2,359","2,629","3,197","4,027","4,638","4,740","4,787","4,812","4,562","4,475","4,282","4,097","3,893","3,669","3,439","3,229","3,203","2,915","2,858","2,682","2,643","2,686","2,608","2,459","2,477","2,384","2,424","2,431","2,476","2,379","2,429","2,438","2,327","2,322","2,370","2,232","2,193","2,058","1,960","1,886","1,684","1,581","1,453","1,497","1,297","1,272","1,192","1,239","1,044","1,036","1,068",964,973,990,"1,010",831,738,739,679,577,577,583,554,457,397,367,303,289,237,204,781,"183,135",594,247,347,"5,944","6,138",-194,7,0,"183,295"
E09000014,Haringey,"264,130","3,144","3,080","2,951","2,903","2,847","3,070","2,906","2,869","2,884","3,036","3,104","3,085","3,118","3,139","3,064","2,979","3,041","3,100","2,941","2,588","2,706","2,709","3,098","3,652","4,061","4,256","4,589","4,902","4,941","5,019","5,145","5,255","5,151","5,191","4,961","4,858","5,012","4,572","4,544","4,531","4,396","4,551","4,331","4,054","3,889","3,818","3,984","3,781","3,749","3,813","3,958","3,612","3,737","3,684","3,491","3,590","3,462","3,225","3,098","2,958","2,638","2,677","2,326","2,217","2,128","1,986","1,909","1,756","1,693","1,620","1,504","1,503","1,471","1,336","1,334","1,070","1,086","1,075",907,821,749,777,733,711,604,612,485,451,345,338,"1,085","264,210",960,323,637,"6,156","6,880",-724,7,0,"264,130"
E09000019,Islington,"216,767","2,519","2,223","2,216","2,134","2,102","2,051","1,913","1,976","1,980","2,013","2,042","2,079","1,969","2,015","1,864","1,844","1,808","1,784","2,235","2,768","2,981","3,233","3,464","4,106","4,558","5,205","5,608","5,950","5,935","6,149","6,055","5,938","5,444","5,102","4,781","4,553","4,134","3,833","3,455","3,248","3,201","3,273","2,940","2,690","2,677","2,577","2,566","2,522","2,508","2,453","2,605","2,623","2,549","2,484","2,455","2,698","2,460","2,359","2,359","2,187","1,981","1,991","1,848","1,576","1,470","1,502","1,318","1,294","1,205","1,208","1,055","1,084","1,060","1,151","1,057",826,789,730,698,599,572,565,498,477,417,405,345,295,269,214,815,"216,580",738,274,464,"6,445","6,722",-277,0,0,"216,767"
E09000020,Kensington and Chelsea,"143,940","1,297","1,162","1,270","1,143","1,257","1,214","1,244","1,288","1,266","1,305","1,300","1,298","1,350","1,275","1,266","1,263","1,204","1,430","1,404","1,452","2,059","2,020","2,567","2,782","2,932","2,822","2,576","2,669","2,590","2,547","2,436","2,504","2,395","2,473","2,310","2,325","2,127","2,007","2,054","1,982","2,061","2,058","1,841","1,894","1,772","1,937","1,974","2,050","2,053","2,084","2,276","2,057","2,261","2,278","2,135","2,262","2,135","2,125","2,130","1,960","1,784","1,661","1,569","1,507","1,414","1,299","1,236","1,270","1,088","1,011","1,128","1,080","1,105","1,095","1,054",924,877,834,803,708,592,657,563,501,471,356,359,289,251,232,"1,014","143,360",396,182,214,"4,381","4,014",367,-1,0,"143,940"
E09000022,Lambeth,"317,498","3,171","3,081","3,009","2,916","2,939","2,886","2,957","2,963","3,019","3,027","3,006","3,075","3,070","3,161","3,019","3,014","2,986","2,979","3,069","2,953","3,019","3,450","4,595","6,700","8,542","9,393","9,644","9,397","8,822","8,623","8,376","7,700","7,265","6,878","6,243","5,841","5,382","5,141","4,907","4,953","4,771","4,854","4,412","4,183","4,266","4,135","4,212","3,970","3,924","3,994","4,059","4,178","4,085","4,173","3,909","3,996","3,859","3,737","3,509","3,313","3,023","2,814","2,631","2,504","2,309","2,179","2,020","1,767","1,648","1,504","1,528","1,423","1,343","1,317","1,316","1,056",928,936,945,826,776,806,716,664,592,562,433,367,356,307,"1,192","317,615",952,300,652,"9,155","9,923",-768,-1,0,"317,498"
E09000023,Lewisham,"299,810","3,776","3,967","3,783","3,747","3,682","3,716","3,570","3,546","3,581","3,580","3,688","3,551","3,503","3,453","3,365","3,279","3,360","3,254","3,145","2,768","2,999","3,435","3,604","3,990","4,526","4,820","5,161","5,512","5,754","6,130","6,115","6,174","6,190","6,141","5,907","6,005","5,593","5,361","5,203","5,213","5,136","4,987","4,780","4,583","4,270","4,274","4,249","4,118","4,099","4,015","4,225","3,960","3,956","3,853","3,934","3,905","3,913","3,726","3,733","3,466","3,091","2,905","2,668","2,577","2,394","2,187","1,907","1,838","1,623","1,553","1,600","1,395","1,348","1,406","1,373","1,128","1,060","1,013","1,022",877,811,844,807,784,667,587,546,479,399,335,"1,257","300,520","1,081",381,700,"5,657","7,075","-1,418",8,0,"299,810"
E09000025,Newham,"350,626","4,870","4,839","4,763","4,710","4,674","4,675","4,546","4,655","4,678","4,713","4,633","4,736","4,647","4,787","4,523","4,338","4,548","4,349","4,499","4,351","4,520","4,792","5,637","6,214","6,742","7,033","7,111","7,088","7,398","7,089","7,243","7,476","7,241","7,313","7,105","6,926","6,854","6,445","6,352","5,932","5,919","5,982","5,662","5,156","4,839","4,834","4,810","4,564","4,312","4,297","4,251","4,583","4,089","3,984","3,605","3,528","3,377","3,370","3,204","2,957","2,925","2,780","2,501","2,387","2,197","2,165","1,981","1,803","1,704","1,665","1,441","1,325","1,169","1,242","1,154",923,798,777,788,744,679,667,663,611,519,460,397,333,287,271,902,"351,060","1,482",374,"1,108","7,210","8,905","-1,695",153,0,"350,626"
E09000028,Southwark,"306,374","3,211","3,290","3,274","3,140","3,135","3,264","3,149","3,092","3,185","3,169","3,344","3,162","3,251","3,255","3,199","2,967","3,156","2,951","3,132","3,700","3,739","4,462","4,799","5,657","6,353","7,035","7,330","7,727","8,022","7,897","7,481","7,597","7,259","6,669","5,944","5,780","5,470","5,216","4,923","4,853","4,720","4,488","4,309","4,155","4,050","4,196","4,054","3,853","4,039","3,853","3,899","3,863","3,921","3,842","3,879","3,719","3,648","3,612","3,543","3,199","3,113","2,914","2,599","2,403","2,267","2,071","1,841","1,740","1,563","1,400","1,297","1,416","1,263","1,274","1,393","1,083",929,862,816,743,726,723,682,619,534,492,419,355,310,306,"1,140","307,605",961,288,673,"7,494","9,395","-1,901",-3,0,"306,374"
