"Title","Average actual weekly hours of work for full-time workers (seasonally adjusted)"
"CDID","YBUY"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","hours"
"Release date","15-08-2023"
"Next release","12 September 2023"
"Important notes",
"1992","38.1"
"1993","38.2"
"1994","38.5"
"1995","38.5"
"1996","38.7"
"1997","38.6"
"1998","38.5"
"1999","38.2"
"2000","37.9"
"2001","37.9"
"2002","37.5"
"2003","37.4"
"2004","37.3"
"2005","37.3"
"2006","37.2"
"2007","37.2"
"2008","37.1"
"2009","36.8"
"2010","37.1"
"2011","37.0"
"2012","37.4"
"2013","37.5"
"2014","37.6"
"2015","37.5"
"2016","37.5"
"2017","37.4"
"2018","37.1"
"2019","37.2"
"2020","33.6"
"2021","35.5"
"2022","36.4"
"1992 Q2","38.2"
"1992 Q3","38.1"
"1992 Q4","38.1"
"1993 Q1","38.2"
"1993 Q2","38.1"
"1993 Q3","38.2"
"1993 Q4","38.2"
"1994 Q1","38.3"
"1994 Q2","38.4"
"1994 Q3","38.5"
"1994 Q4","38.8"
"1995 Q1","38.6"
"1995 Q2","38.5"
"1995 Q3","38.5"
"1995 Q4","38.6"
"1996 Q1","38.7"
"1996 Q2","38.7"
"1996 Q3","38.7"
"1996 Q4","38.6"
"1997 Q1","38.6"
"1997 Q2","38.6"
"1997 Q3","38.6"
"1997 Q4","38.5"
"1998 Q1","38.6"
"1998 Q2","38.6"
"1998 Q3","38.5"
"1998 Q4","38.2"
"1999 Q1","38.3"
"1999 Q2","38.2"
"1999 Q3","38.2"
"1999 Q4","38.3"
"2000 Q1","37.6"
"2000 Q2","38.0"
"2000 Q3","37.9"
"2000 Q4","38.1"
"2001 Q1","37.9"
"2001 Q2","38.0"
"2001 Q3","37.9"
"2001 Q4","37.7"
"2002 Q1","37.7"
"2002 Q2","37.4"
"2002 Q3","37.7"
"2002 Q4","37.3"
"2003 Q1","37.5"
"2003 Q2","37.4"
"2003 Q3","37.4"
"2003 Q4","37.2"
"2004 Q1","37.4"
"2004 Q2","37.2"
"2004 Q3","37.2"
"2004 Q4","37.5"
"2005 Q1","37.3"
"2005 Q2","37.2"
"2005 Q3","37.3"
"2005 Q4","37.3"
"2006 Q1","37.2"
"2006 Q2","37.1"
"2006 Q3","37.1"
"2006 Q4","37.2"
"2007 Q1","37.3"
"2007 Q2","37.3"
"2007 Q3","37.2"
"2007 Q4","37.0"
"2008 Q1","37.4"
"2008 Q2","36.9"
"2008 Q3","37.1"
"2008 Q4","37.0"
"2009 Q1","36.6"
"2009 Q2","36.9"
"2009 Q3","36.8"
"2009 Q4","36.8"
"2010 Q1","37.0"
"2010 Q2","37.0"
"2010 Q3","37.0"
"2010 Q4","37.4"
"2011 Q1","37.2"
"2011 Q2","36.7"
"2011 Q3","37.1"
"2011 Q4","37.1"
"2012 Q1","37.3"
"2012 Q2","37.2"
"2012 Q3","37.6"
"2012 Q4","37.4"
"2013 Q1","37.5"
"2013 Q2","37.5"
"2013 Q3","37.7"
"2013 Q4","37.5"
"2014 Q1","37.5"
"2014 Q2","37.7"
"2014 Q3","37.6"
"2014 Q4","37.6"
"2015 Q1","37.4"
"2015 Q2","37.4"
"2015 Q3","37.3"
"2015 Q4","37.7"
"2016 Q1","37.6"
"2016 Q2","37.4"
"2016 Q3","37.4"
"2016 Q4","37.5"
"2017 Q1","37.5"
"2017 Q2","37.6"
"2017 Q3","37.3"
"2017 Q4","37.2"
"2018 Q1","37.1"
"2018 Q2","37.1"
"2018 Q3","37.3"
"2018 Q4","37.1"
"2019 Q1","37.5"
"2019 Q2","37.3"
"2019 Q3","37.3"
"2019 Q4","36.9"
"2020 Q1","36.3"
"2020 Q2","30.5"
"2020 Q3","32.9"
"2020 Q4","34.7"
"2021 Q1","34.1"
"2021 Q2","35.5"
"2021 Q3","36.1"
"2021 Q4","36.2"
"2022 Q1","36.6"
"2022 Q2","36.4"
"2022 Q3","36.3"
"2022 Q4","36.2"
"2023 Q1","36.6"
"2023 Q2","36.6"
"1992 APR","38.1"
"1992 MAY","38.2"
"1992 JUN","38.1"
"1992 JUL","38.1"
"1992 AUG","38.1"
"1992 SEP","38.0"
"1992 OCT","38.2"
"1992 NOV","38.1"
"1992 DEC","38.2"
"1993 JAN","38.2"
"1993 FEB","38.2"
"1993 MAR","38.1"
"1993 APR","38.1"
"1993 MAY","38.1"
"1993 JUN","38.2"
"1993 JUL","38.2"
"1993 AUG","38.2"
"1993 SEP","38.2"
"1993 OCT","38.0"
"1993 NOV","38.2"
"1993 DEC","38.1"
"1994 JAN","38.3"
"1994 FEB","38.3"
"1994 MAR","38.5"
"1994 APR","38.4"
"1994 MAY","38.4"
"1994 JUN","38.3"
"1994 JUL","38.5"
"1994 AUG","38.5"
"1994 SEP","38.5"
"1994 OCT","38.5"
"1994 NOV","38.8"
"1994 DEC","38.8"
"1995 JAN","38.7"
"1995 FEB","38.6"
"1995 MAR","38.6"
"1995 APR","38.7"
"1995 MAY","38.5"
"1995 JUN","38.6"
"1995 JUL","38.5"
"1995 AUG","38.5"
"1995 SEP","38.4"
"1995 OCT","38.5"
"1995 NOV","38.6"
"1995 DEC","38.7"
"1996 JAN","38.6"
"1996 FEB","38.7"
"1996 MAR","38.6"
"1996 APR","38.7"
"1996 MAY","38.7"
"1996 JUN","38.8"
"1996 JUL","38.7"
"1996 AUG","38.7"
"1996 SEP","38.7"
"1996 OCT","38.7"
