,IncidentDate,Borough,counts
0,2022-04-01,Barking and Dagenham,9
1,2022-04-01,Barnet,7
2,2022-04-01,Bexley,5
3,2022-04-01,Brent,12
4,2022-04-01,Bromley,19
5,2022-04-01,Camden,14
6,2022-04-01,City of Westminster,31
7,2022-04-01,Croydon,22
8,2022-04-01,Ealing,12
9,2022-04-01,Enfield,12
10,2022-04-01,Greenwich,22
11,2022-04-01,Hackney,17
12,2022-04-01,Hammersmith and Fulham,11
13,2022-04-01,Haringey,7
14,2022-04-01,Harrow,6
15,2022-04-01,Havering,11
16,2022-04-01,Hillingdon,11
17,2022-04-01,Hounslow,12
18,2022-04-01,Islington,9
19,2022-04-01,Kensington and Chelsea,3
20,2022-04-01,Lambeth,17
21,2022-04-01,Lewisham,5
22,2022-04-01,Merton,6
23,2022-04-01,Newham,15
24,2022-04-01,Out of force,2
25,2022-04-01,Redbridge,15
26,2022-04-01,Richmond upon Thames,3
27,2022-04-01,Southwark,18
28,2022-04-01,Sutton,3
29,2022-04-01,Tower Hamlets,15
30,2022-04-01,Waltham Forest,3
31,2022-04-01,Wandsworth,12
32,2022-04-02,Barking and Dagenham,3
33,2022-04-02,Barnet,11
34,2022-04-02,Bexley,8
35,2022-04-02,Brent,8
36,2022-04-02,Bromley,19
37,2022-04-02,Camden,10
38,2022-04-02,City of Westminster,22
39,2022-04-02,Croydon,18
40,2022-04-02,Ealing,10
41,2022-04-02,Enfield,17
42,2022-04-02,Greenwich,9
43,2022-04-02,Hackney,17
44,2022-04-02,Hammersmith and Fulham,36
45,2022-04-02,Haringey,9
46,2022-04-02,Harrow,7
47,2022-04-02,Havering,9
48,2022-04-02,Hillingdon,7
49,2022-04-02,Hounslow,21
50,2022-04-02,Islington,10
51,2022-04-02,Kensington and Chelsea,5
52,2022-04-02,Kingston upon Thames,5
53,2022-04-02,Lambeth,33
54,2022-04-02,Lewisham,5
55,2022-04-02,Merton,4
56,2022-04-02,Newham,31
57,2022-04-02,Out of force,3
58,2022-04-02,Redbridge,9
59,2022-04-02,Richmond upon Thames,3
60,2022-04-02,Southwark,31
61,2022-04-02,Sutton,6
62,2022-04-02,Tower Hamlets,23
63,2022-04-02,Waltham Forest,5
64,2022-04-02,Wandsworth,16
65,2022-04-03,Barking and Dagenham,12
66,2022-04-03,Barnet,5
67,2022-04-03,Bexley,14
68,2022-04-03,Brent,18
69,2022-04-03,Bromley,11
70,2022-04-03,Camden,17
71,2022-04-03,City of Westminster,19
72,2022-04-03,Croydon,8
73,2022-04-03,Ealing,10
74,2022-04-03,Enfield,3
75,2022-04-03,Greenwich,19
76,2022-04-03,Hackney,11
77,2022-04-03,Hammersmith and Fulham,10
78,2022-04-03,Haringey,8
79,2022-04-03,Harrow,3
80,2022-04-03,Havering,15
81,2022-04-03,Heathrow,1
82,2022-04-03,Hillingdon,9
83,2022-04-03,Hounslow,11
84,2022-04-03,Islington,12
85,2022-04-03,Kensington and Chelsea,4
86,2022-04-03,Kingston upon Thames,1
87,2022-04-03,Lambeth,12
88,2022-04-03,Lewisham,6
89,2022-04-03,Merton,1
90,2022-04-03,Newham,13
91,2022-04-03,Out of force,1
92,2022-04-03,Redbridge,6
93,2022-04-03,Richmond upon Thames,1
94,2022-04-03,Southwark,19
95,2022-04-03,Sutton,1
96,2022-04-03,Tower Hamlets,20
97,2022-04-03,Waltham Forest,2
98,2022-04-03,Wandsworth,7
99,2022-04-04,Barking and Dagenham,6
100,2022-04-04,Barnet,8
101,2022-04-04,Bexley,7
102,2022-04-04,Brent,16
103,2022-04-04,Bromley,12
104,2022-04-04,Camden,9
105,2022-04-04,City of Westminster,15
106,2022-04-04,Croydon,19
107,2022-04-04,Ealing,9
108,2022-04-04,Enfield,14
109,2022-04-04,Greenwich,8
110,2022-04-04,Hackney,12
111,2022-04-04,Hammersmith and Fulham,11
112,2022-04-04,Haringey,8
113,2022-04-04,Harrow,7
114,2022-04-04,Havering,9
115,2022-04-04,Heathrow,8
116,2022-04-04,Hillingdon,8
117,2022-04-04,Hounslow,14
118,2022-04-04,Islington,9
119,2022-04-04,Kensington and Chelsea,1
120,2022-04-04,Kingston upon Thames,3
121,2022-04-04,Lambeth,31
122,2022-04-04,Lewisham,12
123,2022-04-04,Merton,5
124,2022-04-04,Newham,18
125,2022-04-04,Out of force,2
126,2022-04-04,Redbridge,4
127,2022-04-04,Richmond upon Thames,2
128,2022-04-04,Southwark,27
129,2022-04-04,Sutton,5
130,2022-04-04,Tower Hamlets,6
131,2022-04-04,Waltham Forest,8
132,2022-04-04,Wandsworth,4
133,2022-04-05,Barking and Dagenham,8
134,2022-04-05,Barnet,6
135,2022-04-05,Bexley,12
136,2022-04-05,Brent,12
137,2022-04-05,Bromley,19
138,2022-04-05,Camden,14
139,2022-04-05,City of Westminster,14
140,2022-04-05,Croydon,21
141,2022-04-05,Ealing,18
142,2022-04-05,Enfield,15
143,2022-04-05,Greenwich,20
144,2022-04-05,Hackney,21
145,2022-04-05,Hammersmith and Fulham,6
146,2022-04-05,Haringey,10
147,2022-04-05,Harrow,3
148,2022-04-05,Havering,9
149,2022-04-05,Heathrow,1
150,2022-04-05,Hillingdon,9
151,2022-04-05,Hounslow,16
152,2022-04-05,Islington,17
153,2022-04-05,Kensington and Chelsea,8
154,2022-04-05,Kingston upon Thames,5
155,2022-04-05,Lambeth,24
156,2022-04-05,Lewisham,29
157,2022-04-05,Merton,6
158,2022-04-05,Newham,7
159,2022-04-05,Out of force,2
160,2022-04-05,Redbridge,7
161,2022-04-05,Richmond upon Thames,1
162,2022-04-05,Southwark,26
163,2022-04-05,Sutton,4
164,2022-04-05,Tower Hamlets,24
165,2022-04-05,Waltham Forest,8
166,2022-04-05,Wandsworth,11
167,2022-04-06,Barking and Dagenham,8
168,2022-04-06,Barnet,16
169,2022-04-06,Bexley,9
170,2022-04-06,Brent,17
171,2022-04-06,Bromley,9
172,2022-04-06,Camden,11
173,2022-04-06,City of Westminster,15
174,2022-04-06,Croydon,17
175,2022-04-06,Ealing,15
176,2022-04-06,Enfield,14
177,2022-04-06,Greenwich,15
178,2022-04-06,Hackney,14
179,2022-04-06,Hammersmith and Fulham,8
